index,precision,recall,f1-score,support,model_name,data_set,parameters
0,0.9259259259259259,0.9717314487632509,0.9482758620689655,283.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
1,0.6521739130434783,0.40540540540540543,0.5,37.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
accuracy,0.90625,0.90625,0.90625,0.90625,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
macro avg,0.789049919484702,0.6885684270843282,0.7241379310344828,320.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
weighted avg,0.894273349436393,0.90625,0.8964439655172415,320.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
0,0.9423728813559322,0.9823321554770318,0.9619377162629758,283.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
1,0.8,0.5405405405405406,0.6451612903225806,37.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.93125,0.93125,0.93125,0.93125,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8711864406779661,0.7614363480087862,0.8035495032927782,320.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9259110169491527,0.93125,0.9253104420136176,320.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
0,0.9249146757679181,0.9575971731448764,0.9409722222222223,283.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
1,0.5555555555555556,0.40540540540540543,0.46875,37.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
accuracy,0.89375,0.89375,0.89375,0.89375,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
macro avg,0.7402351156617368,0.6815012892751409,0.7048611111111112,320.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
weighted avg,0.8822075274933636,0.89375,0.8863715277777778,320.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
0,0.9322033898305084,0.9717314487632509,0.9515570934256055,283.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
1,0.68,0.4594594594594595,0.5483870967741935,37.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
accuracy,0.9125,0.9125,0.9125,0.9125,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
macro avg,0.8061016949152542,0.7155954541113552,0.7499720950998995,320.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
weighted avg,0.9030423728813559,0.9125,0.9049405625627861,320.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
0,0.9358108108108109,0.9787985865724381,0.9568221070811744,283.0,Random Forest,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
1,0.75,0.4864864864864865,0.5901639344262296,37.0,Random Forest,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,Random Forest,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
macro avg,0.8429054054054055,0.7326425365294623,0.7734930207537021,320.0,Random Forest,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
weighted avg,0.9143264358108109,0.921875,0.9144272558679465,320.0,Random Forest,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
0,0.9340277777777778,0.950530035335689,0.9422066549912433,283.0,Decision Tree,1,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
1,0.5625,0.4864864864864865,0.5217391304347827,37.0,Decision Tree,1,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
accuracy,0.896875,0.896875,0.896875,0.896875,Decision Tree,1,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
macro avg,0.7482638888888888,0.7185082609110878,0.731972892713013,320.0,Decision Tree,1,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
weighted avg,0.8910698784722223,0.896875,0.8935900974644024,320.0,Decision Tree,1,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,GBM,1,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,GBM,1,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,GBM,1,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,GBM,1,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,GBM,1,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
0,0.9448275862068966,0.9681978798586572,0.956369982547993,283.0,Light GBM,1,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
1,0.7,0.5675675675675675,0.626865671641791,37.0,Light GBM,1,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,Light GBM,1,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8224137931034483,0.7678827237131124,0.7916178270948919,320.0,Light GBM,1,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.916519396551724,0.921875,0.9182710465994635,320.0,Light GBM,1,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
0,0.9058441558441559,0.9858657243816255,0.9441624365482234,283.0,Logistic Regression,2,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
1,0.6666666666666666,0.21621621621621623,0.326530612244898,37.0,Logistic Regression,2,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
accuracy,0.896875,0.896875,0.896875,0.896875,Logistic Regression,2,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
macro avg,0.7862554112554112,0.6010409702989208,0.6353465243965607,320.0,Logistic Regression,2,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
weighted avg,0.8781892586580087,0.896875,0.8727487568631513,320.0,Logistic Regression,2,"{'C': 0.01, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
0,0.9358108108108109,0.9787985865724381,0.9568221070811744,283.0,Random Forest,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
1,0.75,0.4864864864864865,0.5901639344262296,37.0,Random Forest,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,Random Forest,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
macro avg,0.8429054054054055,0.7326425365294623,0.7734930207537021,320.0,Random Forest,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
weighted avg,0.9143264358108109,0.921875,0.9144272558679465,320.0,Random Forest,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 17, 'n_estimators': 50, 'random_state': 17}"
0,0.9340277777777778,0.950530035335689,0.9422066549912433,283.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
1,0.5625,0.4864864864864865,0.5217391304347827,37.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
accuracy,0.896875,0.896875,0.896875,0.896875,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
macro avg,0.7482638888888888,0.7185082609110878,0.731972892713013,320.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
weighted avg,0.8910698784722223,0.896875,0.8935900974644024,320.0,Decision Tree,2,"{'class_weight': {0: 1, 1: 10}, 'max_depth': None, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,GBM,2,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
0,0.9147540983606557,0.9858657243816255,0.9489795918367346,283.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
1,0.7333333333333333,0.2972972972972973,0.42307692307692313,37.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
accuracy,0.90625,0.90625,0.90625,0.90625,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
macro avg,0.8240437158469944,0.6415815108394614,0.6860282574568288,320.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
weighted avg,0.8937773224043715,0.90625,0.8881720957613813,320.0,Light GBM,2,"{'class_weight': None, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'random_state': 17}"
